"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Demoes\react-cloud-music\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\Demoes\react-cloud-music\api\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Demoes\react-cloud-music\package-lock.json", "JSON", 0, 31744, 0, 0, 0, 0, 0, 1, 31745
"d:\Demoes\react-cloud-music\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"d:\Demoes\react-cloud-music\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 23, 1, 44
"d:\Demoes\react-cloud-music\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\Demoes\react-cloud-music\src\App.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\Demoes\react-cloud-music\src\api\config.js", "JavaScript", 0, 0, 198, 0, 0, 0, 5, 8, 211
"d:\Demoes\react-cloud-music\src\api\lyric-parser.js", "JavaScript", 0, 0, 96, 0, 0, 0, 14, 7, 117
"d:\Demoes\react-cloud-music\src\api\request.js", "JavaScript", 0, 0, 57, 0, 0, 0, 4, 15, 76
"d:\Demoes\react-cloud-music\src\api\utils.js", "JavaScript", 0, 0, 93, 0, 0, 0, 10, 11, 114
"d:\Demoes\react-cloud-music\src\application\Album\index.js", "JavaScript", 0, 0, 149, 0, 0, 0, 4, 17, 170
"d:\Demoes\react-cloud-music\src\application\Album\store\actionCreators.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\Demoes\react-cloud-music\src\application\Album\store\constants.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Demoes\react-cloud-music\src\application\Album\store\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Demoes\react-cloud-music\src\application\Album\store\reducer.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Demoes\react-cloud-music\src\application\Album\style.js", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 4, 145
"d:\Demoes\react-cloud-music\src\application\Home\index.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 5, 34
